,count,hate_speech,offensive_language,neither,class,tweet
851,3,3,0,0,0,#firefighter is a job for white trash
852,3,0,1,2,2,#foxnews cuts away when a Democrat talks and claim to be fair and balanced. LMAO network full of #teabaggers and liars.
915,3,0,3,0,1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Lesbian | Lesbian girl eating pussy http://t.co/Ht9szL3b24"
1162,3,0,0,3,2,&#8220;@BestOfAds: Rape? Cannibalism? You Won't Recognize The Original Versions Of These Fairy Tales http://t.co/PrnJ8EFAoi&#8221; man wtf
1251,3,2,1,0,0,"&#8220;@DickFurari: HELL YA THEY SHOULD MAKE MORE MALT LIQUOR ADS LIKE THIS. http://t.co/H0JGORtnF8&#8221; - Dis be heaven fo a colored man"
1292,3,0,3,0,1,&#8220;@FunnyPicsDepot: bitch in the middle look like a daddy long leg &#128557; https://t.co/f2L8dpbrES&#8221;@KellieNehls
1347,3,0,2,1,1,"&#8220;@IdLikeToCare: @idpetition Wow, putting a whole manifesto up using TwitLonger. And by a Canadian. Hey hoser....how many will you adopt?"
1442,3,3,0,0,0,"&#8220;@Maxwell_Larsen: When you live this gay, you can't be afraid of two black dicks in your butt"" you fucking queer"
1477,3,0,3,0,1,&#8220;@NoRapist: Using y = mx + b to measure the slope of that ass girl.&#8221; @mckinley719
1507,3,0,1,2,2,&#8220;@RaleighBeougher: dumb beaner&#8221; http://t.co/r0hABEQhSu
1559,3,0,3,0,1,&#8220;@SoDamnTrue: I live in constant fear of being shit on by a bird&#8221; well this actually fucking happened to me before sooooo. &#128529;
1608,3,0,3,0,1,&#8220;@ToriJBerman: Shavonne was doing ballet in the middle of the street last night and fell &#128553;&#128553;&#128514;&#128514;&#128514;&#128514;&#128557;&#128557;&#128557;&#8221;&#128557;&#128557;&#128557; bitch it wasn't ballet
1660,3,0,2,1,1,"&#8220;@_4ever_slim: U look like a cotton picker tho | RT @KB_Three: About to put in field work &#127944;&#8221; damn dee got all the jokes"
1781,3,0,3,0,1,"&#8220;@dlogue22: Asians have short beds, my feet are hanging off the edge of the bed &#128514;&#8221; cuddle me bitch I'm right beside you"
2172,3,2,1,0,0,"'Damn you, whitey!' You'll get a kick out of the 'newest form of white privilege' http://t.co/zLpFZsITOm"
2208,3,2,1,0,0,",@KiroGx me gusta ""typing like a retard to make the other person look dumber by pretending to agree with them"" bazinga"
2251,3,0,1,2,2,1-800-slap-a-hoe
2483,3,3,0,0,0,"@AmericanWhiteHM Those niggers disgust me. They should have dealt with 100 years ago, we wouldn't be having these problems now."
3040,3,2,1,0,0,@DarienDaywalt bitch shut the fuck up goddam your a slut bitch whore nigga
4124,3,0,0,3,2,@Machell1123 i hope you get better soon! colds are for the birds
4460,3,3,0,0,0,@OfficialSkaiS kill yourself ugly ass monkey looking shit
4781,3,0,1,2,2,"@SarahR_82 Y'all gots to take da colored vacation. Kentucky fried chicken but only da white meat"
7588,3,0,0,3,2,@yungdipIo @Iemonaids like I really want a rafter monkey
7798,3,1,0,2,2,All da white folk off twitter yet? Da colored tweet at night while y'all sleep cuz you gotta woyke tomorrow.
9819,3,2,0,1,0,"Gotta love rednecks. Loud, stupid, stubborn, and full o schitt."
13794,3,0,0,3,2,"Note: Khorasan is the old Arabic name for parts of Iran, Afghanistan. Not an invention of modern Jihadis. #justsayin"
